GAME_CLIENT_KEY,CLIENT_ID,GAME_ID,GAME_NAME,GAME_TYPE,TENANT_NAME,SOURCE_DATABASE,STATUS
bd5076b4c1d8fe4708dbddf2da9e8f2d,gana,gana_predictor,Gana Predictor,pickem,,low6_azureeastus2,archived
9785bfd049618e1040578c6e6d190d28,gana,gana_survivor,Gana Survivor,streak,,low6_azureeastus2,archived
be9f25a9fbfe9080a71019219f74aeb7,gsoc,gsoc_picks,GSOC Picks,pickem,,low6_us,archived
f05873640c77fdb5c9ffaec186f3bdfc,iff,iff_bingo,IFF Bingo,bingo,,low6,archived
7acb5b3c2b3d1c64116dc81b57c97744,iff,iff_picks,IFF Picks,pickem,,low6,archived
5fd4bf9c48679a9c896afd4b363b119b,itv,itv_spinoff,ITV Spin Off,daily_quiz,,low6_azureuksouth,archived
717ebb19bd781e97a38ce53289b81229,itv,itv_spinoff_live,ITV Spin Off Live,live_quiz,,low6_azureuksouth,archived
f676e747a0829552f289c19a6ebdb641,lavercup,lavercup,Laver Cup,pickem,,low6,archived
aecdc1900dafb60dc6f97f2ef6f47ff0,lavercup,lavercup_picks,Laver Cup Picks,pickem,,low6_us,archived
0db4d44a9170fbd63f6e6892e1601f56,learfield,learfield,Aggie Predictions,pickem,,low6_us,archived
9b22ac3c4267f26f53c00a23e4a013c4,learfield,learfield,Beardown Games,pickem,,low6_us,archived
422f60c9edaea6e6405766199eb56ed2,learfield,learfield,Cyclones Pick Em,pickem,,low6_us,archived
5126cf77a82d067088908c8249b70fee,learfield,learfield,Doghouse Predictor ,pickem,,low6_us,archived
06062723fcb391797c74fd298603f9c3,learfield,learfield,Florida Gators,pickem,,low6_us,archived
ebdd6d95296cb8e320838c1750e28561,learfield,learfield,Hailstate Pick Em,pickem,,low6_us,archived
7859412d115c0e5d70eec613c65e2673,learfield,learfield,Hilltop Predictions,pickem,,low6_us,archived
446c89e47cf1ea1974aaf9c75855fa78,learfield,learfield,Hokies Pick Em,pickem,,low6_us,archived
41ab2cf0887829257f98bf6eee0d06d3,learfield,learfield,Mizzou Challenge,pickem,,low6_us,archived
93b97974c8825121a3c0fcefe246160e,learfield,learfield,Mustang Challenge,pickem,,low6_us,archived
db6a8a0cec21dfca81b3f1b0ed92998a,learfield,learfield,Oklahoma State Challenge,pickem,,low6_us,archived
a40576c7ec7235b6294d3a071122e268,learfield,learfield,OU Challenge,pickem,,low6_us,archived
e84e7bfd4fcedeee4dd7dc4f9fd744a9,learfield,learfield,Panther Pick Em,pickem,,low6_us,archived
163a2d0cd806f1ee2971ae9b153f516c,learfield,learfield,Purple and Gold Pick Em,pickem,,low6_us,archived
d88fd86cf99f1aa9f30af4931bf13d71,learfield,learfield,Rebels Challenge,pickem,,low6_us,archived
f97c31b25cd486a269e8b1892a016e2b,learfield,learfield,Sic Em Pick Em,pickem,,low6_us,archived
1a1c0d5cad6ca779802bc92f547de0ef,learfield,learfield,Tar Heels Challenge,pickem,,low6_us,archived
4cd4f5ab96965b5f0962f2318d2fc6a3,learfield,learfield,The Herd Challenge,pickem,,low6_us,archived
430c78d16bc6b94545f09505a3472988,learfield,learfield,Wolfpack Predictions,pickem,,low6_us,archived
953280121681ef314a3906f020ddcf76,learfield,learfield,Wolverine Challenge,pickem,,low6_us,archived
2c1ab3d00accb3be065bff8f5125843f,newscorp,newscorp_matchup,NewsCorp Matchup,connections,,low6_azureeastus2,live
4df6e8e2536fddbbc08ca7ac25cec572,newscorp,newscorp_trivia,NewsCorp Trivia,trivia,,low6_azureeastus2,live
f2f8cb661f5f4dcd83b7044a4d31681a,nhl,nhl_all_star_fan_vote,NHL All Star Fan Vote,vote,,low6_us,archived
4e9221d1d6c7feadbceef744ce1a6b41,nhl,nhl_bingo,NHL Bingo,bingo,,low6_awsuseast1,archived
375e2e0984897385984316587eb5b137,nhl,nhl_bingo,NHL Bingo,bingo,,low6_us,archived
c5dc050374b888ccb3d385cec70a2f5e,nhl,nhl_bracket,NHL Bracket Challenge,bracket,,low6_awsuseast1,archived
10b95e4fe8823451aefcec82c38d1043,nhl,nhl_bracket,NHL Bracket Challenge,bracket,,low6_us,archived
e28e4b0947fd03ec6281b3dadb2c4a10,nhl,nhl_fantasy_stars,NHL Fantasy Stars,fantasy,,low6_awsuseast1,live
5b7189afe4cf1347a9f65ff60b821702,nhl,nhl_gamezone,NHL Gamezone,gamezone,,low6_awsuseast1,archived
cdf792d9ee2fc097c33a7fb981a7b23a,nhl,nhl_goal_chase,NHL Goal Chase,pickem,,low6_awsuseast1,archived
f350c1bec30c9506de9866f8953bb092,nhl,nhl_lines,NHL Lines,connections,,low6_awsuseast1,archived
